shidu,wendu,shineiwendu,ziwaixian,fushe,fengsu,fengxiang
91,8.966,16,-55.423,0,0,118
91.5,8.75,16.1,-55.291,0,0,118
93,9.223,16,-55.438,0,0,118
92.5,9.576,16,-55.401,0,0,165
91.5,9.159,16,-55.292,0,0,165
92.5,9.229,15.9,-55.491,0,0,165
92.424,9.76,15.9,-55.495,0,0.303,165.136
90.924,9.998,15.8,-55.257,0,0.906,221.704
91.5,9.21,15.8,-55.438,0,0,258
91,9.299,16,-55.294,11.994,0,258
91.5,9.807,16.8,-55.388,47.975,0,260
91,11.253,17.6,-55.348,119.95,0,258
87,12.997,19.2,-55.359,155.9,0.202,279.696
83.5,14.657,22,-55.371,191.9,0.404,311.696
81.496,15.675,23.7,-55.301,155.9,1.013,288.56
80.496,15.128,21.6,-55.389,173.9,1.216,316.272
80.068,15.314,21.9,-55.494,137.9,0.909,301.408
79.352,15.484,21.9,-55.442,197.9,0.909,331.408
75.352,16.09,23.2,-55.487,155.9,1.716,323.552
71.568,16.714,23.6,-55.305,179.9,0.807,301.696
57.462,17.094,24.9,-55.399,227.9,0.403,47.962
53.712,17.283,25.2,-55.294,245.9,0.403,16.856
50.712,17.866,26.4,-55.336,155.9,0.404,329.696
44.748,17.796,24.6,-55.336,167.9,1.513,335.84
43.82,18.04,24.4,-55.311,149.9,2.027,19.66
37.212,17.776,23,-55.282,113.95,0.807,355.696
41.462,17.388,23.1,-55.434,65.95,0.101,42.212
43.712,16.942,22.7,-55.371,47.975,0.608,30.892
44.034,16.177,21.4,-55.408,11.994,1.513,36.73
47.25,15.245,20,-55.47,0,0,36.5
51.25,14.353,19,-55.371,0,0,36.5
58.25,13.127,17.9,-55.4,0,0,39.25
66.5,11.759,17,-55.431,0,0,39.25
70,10.868,16,-55.304,0,0,39.25
75,9.909,15.1,-55.443,0,0,39.25
75.5,9.757,14.4,-55.26,0,0,39.25
76.5,8.799,13.6,-55.436,0,0,39.25
76.5,8.45,13,-55.393,0,0,39.25
78,7.766,12.6,-55.44,0,0,39.25
77,7.648,12.2,-55.5,0,0,39.25
78,7.151,11.9,-55.355,0,0,39.25
76,6.973,12.8,-55.495,0,0,39.25
73.5,7.319,13.1,-55.436,0,0,39.25
76.5,6.506,13,-55.399,0,0,39.25
75,6.451,13.1,-55.451,0,0,42
69.5,7.717,13.2,-55.448,0,0,30.875
70.5,7.523,13.3,-55.389,0,0,33.5
70,7.939,13.4,-55.392,0,0,33.5
73.5,6.744,13.5,-55.465,0,0,33.5
75,6.296,13.5,-55.355,0,0.101,33.712
77,5.706,13.5,-55.277,0,0,33.5
78.5,5.938,13.6,-55.306,0,0,33.5
79,5.528,13.5,-55.41,0,0,33.5
80.5,5.878,13.5,-55.464,0,0,36.5
81,5.579,13.4,-55.38,0,0,36.5
80,5.566,13.4,-55.38,0,0,36.5
80.5,5.232,13.3,-55.417,0,0,36.5
79,4.965,13.7,-55.423,17.988,0,36.5
76.5,6.506,14.6,-55.399,0,0,39.25
63.75,10.783,16.1,-55.49,155.9,0,36.5
51.75,13.243,18,-55.481,233.9,0.101,36.712
44.5,14.672,21.3,-55.424,299.8,0,268
41.25,16.167,25.9,-55.322,365.8,0,126
41.284,15.704,29.2,-55.276,377.8,0.608,280.272
40.426,16.43,27.1,-55.469,401.8,1.216,282.272
42.302,16.92,25.1,-55.451,413.8,2.322,297.344
40.73,17.328,24.7,-55.433,413.8,2.025,268.56
39.212,17.124,24.5,-55.287,203.9,2.025,280.56
47.676,15.915,24.6,-55.316,221.9,3.024,307.84
42.748,16.115,24.5,-55.257,173.9,1.614,5.62
40.176,15.461,25.4,-55.442,125.95,3.023,325.84
36.784,15.654,25.1,-55.301,107.95,4.955,324.736
33.444,14.765,22.8,-55.255,83.95,3.432,295.552
32.444,14.571,21.1,-55.332,65.95,4.335,5.624
30.508,14.207,22.3,-55.251,47.975,2.728,343.056
30.392,13.682,22.3,-55.472,35.975,2.636,288.128
31.276,13.001,20.3,-55.451,17.988,2.12,323.488
32.784,12.259,18.3,-55.46,0,1.609,317.696
34.07,11.467,16.7,-55.388,0,1.008,316.56
35.534,10.628,15.5,-55.317,0,1.008,300.56
36.962,10.158,14.4,-55.458,0,0.201,315.696
40.034,9.028,13.5,-55.29,0,0.605,330.272
42.75,8.565,12.6,-55.289,0,0,314
43.75,8.074,12,-55.323,0,0.402,315.696
42,8.151,11.3,-55.415,0,0.201,309.696
43.75,6.869,12.2,-55.256,0,0,308
47.75,6.007,12.6,-55.255,0,0,308
52.5,5.589,12.8,-55.38,0,0,308
51.284,5.721,12.9,-55.475,0,1.008,264.56
52,5.277,12.9,-55.38,0,0.402,269.696
53.962,5.194,13,-55.432,0,0.703,259.984
53.25,4.902,13,-55.368,0,0.101,255.848
57,4.455,13,-55.386,0,0,255
57.784,3.519,12.9,-55.403,0,0.906,267.408
54.712,4.584,12.8,-55.497,0,0.605,260.272
54.534,4.154,12.9,-55.493,0,1.508,255.92
55.07,4.056,12.8,-55.346,0,1.406,279.984
55.176,4.017,12.7,-55.382,0,2.016,255.28
54.284,3.982,12.6,-55.331,0,1.406,259.984
54.82,3.796,12.6,-55.426,0,1.711,269.552
55.962,3.439,12.5,-55.286,0,1.109,274.416
54.07,4.029,12.5,-55.276,0,0.805,252.848
53.748,3.799,12.5,-55.39,0,0.703,275.984
52.462,4.325,12.5,-55.467,0,1.211,260.272
51.962,4.411,12.6,-55.38,0,0.805,238.848
54.462,4.573,12.9,-55.39,23.988,0.706,307.984
53,5.617,14.1,-55.471,65.95,0.304,255.136
53.462,6.288,16.2,-55.462,179.9,0.506,252.28
46.284,8.54,18.6,-55.368,263.8,0.706,307.984
43.266,9.139,21.7,-55.41,329.8,1.919,325.264
42.034,10.552,25.9,-55.357,389.8,1.614,303.696
38.32,11.679,25.1,-55.375,437.8,2.228,354.416
35.194,12.263,24.6,-55.354,497.8,3.336,302.624
33.784,12.428,24.3,-55.473,523.6,1.611,281.696
30.267,12.641,23.7,-55.306,413.8,1.512,295.84
31.874,12.81,25.1,-55.426,119.95,1.817,287.408
30.267,13.145,26.5,-55.453,113.95,2.024,292.56
28.892,13.359,26.7,-55.259,83.95,0.706,363.984
27.856,13.207,25.9,-55.481,89.95,2.729,301.056
27.651,13.297,24,-55.284,89.95,2.026,330.56
27.392,13.347,21.9,-55.323,71.95,1.318,288.128
26.249,13.199,20.4,-55.31,59.975,2.024,296.56
25.481,12.953,22.5,-55.413,47.975,0.706,315.984
24.981,12.749,22.1,-55.398,35.975,1.216,334.272
26.535,12.202,20.3,-55.486,17.988,0.909,315.408
28.5,11.38,18,-55.414,0,0,324
33.75,9.801,16.1,-55.26,0,0,324
40.962,8.329,14.8,-55.498,0,0.201,118.424
46.75,6.981,13.8,-55.495,0,0,118
52.75,6.124,13,-55.274,0,0,115
55.75,6.155,12.3,-55.473,0,0,115
61,4.611,11.7,-55.354,0,0,115
64.5,3.696,11.1,-55.345,0,0,115
65,3.746,10.7,-55.279,0,0,115
66,3.058,10.5,-55.469,0,0,115
65,4.365,11.7,-55.324,0,0,115
67,2.969,12.3,-55.352,0,0,118
68,2.88,12.5,-55.485,0,0.201,118.424
71.5,2.472,12.5,-55.491,0,0.201,115.424
71.5,1.699,12.5,-55.273,0,0.101,115.424
73.5,1.847,12.4,-55.479,0,0.101,115.424
74,1.074,12.3,-55.449,0,0,118
76.424,0.945,12.2,-55.444,0,0.303,118.068
77,0.094,12.1,-55.297,0,0,118
77.5,0.022,11.8,-55.281,0,0,118
77.5,0.263,11.8,-55.295,0,0,118
75.5,1.576,11.7,-55.257,0,0.402,118.424
74.5,1.302,11.7,-55.462,0,0,134
76,0.517,11.6,-55.258,0,0.201,134.848
75.5,0.88,11.5,-55.251,0,0,129
74,0.866,11.4,-55.396,0,0.303,129.136
70.924,2.031,11.4,-55.306,0,0.201,126.424
71.5,1.421,11.3,-55.301,0,0,126
72,1.571,11.5,-55.257,17.988,0,123.5
69.5,3.199,12.5,-55.441,47.975,0,126
60,6.841,14.5,-55.271,161.9,0,126
53.25,8.521,17.1,-55.421,239.9,0.506,129.28
47.5,10.531,19.7,-55.485,311.8,0,129
36.25,13.222,21.9,-55.374,377.8,0,129
33.75,14.631,24.9,-55.371,425.8,0,101
30.625,16.163,24.2,-55.408,335.8,0.101,50.712
28.481,17.103,26.9,-55.372,485.8,0.705,283.984
24.375,18.007,27.3,-55.423,119.95,0.202,120.924
23.375,18.229,28.6,-55.258,113.95,0.304,266.272
21.125,18.269,29.9,-55.457,125.95,0,252
20.75,18.848,29.6,-55.472,107.95,0.908,95.852
21.25,18.783,28.6,-55.418,113.95,0,103.5
21.106,19.192,28,-55.432,107.95,1.215,210.136
21.75,19.467,25.9,-55.434,89.95,0.404,287.696
22.625,19.271,25.4,-55.433,77.95,0.507,272.56
23,19.023,25.9,-55.452,53.975,0,140
23.875,18.522,24.9,-55.299,35.975,0.304,165.136
25.875,17.599,22.8,-55.382,17.988,0,202
29,15.829,20.6,-55.395,0,0,168
35,13.526,18.9,-55.352,0,0,168
37.25,12.788,17.6,-55.319,0,0,168
35.25,13.045,16.7,-55.387,0,0,123.5
35.75,12.834,15.8,-55.453,0,0,132
38.75,11.484,15.1,-55.453,0,0,132
38.75,11.985,14.5,-55.354,0,0,101
38.25,12.059,14.1,-55.328,0,0.101,103.924
39.5,11.125,13.7,-55.479,0,0,134
43,9.856,13.4,-55.416,0,0,134
46.5,9.127,14.5,-55.463,0,0,134
48,8.818,14.8,-55.367,0,0.101,134.848
50.5,8.277,15,-55.3,0,0.101,134.848
52.75,7.642,15,-55.393,0,0,134
54,7.41,15,-55.348,0,0,134
59.5,5.956,15,-55.306,0,0,134
60.5,6.135,15,-55.259,0,0,134
62,5.772,14.9,-55.439,0,0,134
63.25,5.413,14.8,-55.476,0,0,132
64.5,5.305,14.7,-55.258,0,0,134
67.5,4.494,14.8,-55.456,0,0,134
69.5,4.537,14.7,-55.405,0,0,134
69.5,4.718,14.7,-55.287,0,0,134
71,4.726,14.8,-55.379,0,0,134
71.5,4.212,14.6,-55.442,0,0,134
72.5,4.151,14.8,-55.386,0,0,132
72.5,4.201,14.5,-55.335,0,0,134
72,4.555,14.4,-55.405,0,0,134
73.5,4.404,14.7,-55.416,11.994,0,134
71.5,5.889,15.7,-55.464,59.975,0,134
64.5,8.072,16.9,-55.377,59.975,0,129
58.784,9.806,18.1,-55.495,77.95,0.404,140.848
55.962,10.95,18.4,-55.477,77.95,0.404,118.424
53.962,11.854,18,-55.459,59.975,0.908,120.852
53.034,12.449,18.2,-55.383,83.95,0.909,126.352
51.5,13.41,19.9,-55.35,89.95,0.101,137.848
50.712,14.049,21.1,-55.382,137.9,0.909,109.852
48.962,14.962,23.2,-55.402,173.9,0.807,115.424
46.5,15.909,22.2,-55.263,131.9,0.507,115.14
44.75,16.412,20.3,-55.324,131.9,0,120.5
46.5,16.17,19.3,-55.488,137.9,0,115
48.75,16.222,18.7,-55.29,89.95,0,126
51.57,15.705,18.1,-55.5,41.975,1.318,106.532
51.962,16.062,19.2,-55.348,59.975,1.113,126.104
49.25,16.867,20.2,-55.424,101.95,0.202,95.924
49.5,16.426,20,-55.324,59.975,0.202,126.424
51.5,15.98,19.6,-55.29,23.988,1.614,134.848
53.5,15.578,18.9,-55.274,5.997,0.101,120.924
55.25,15.31,18.1,-55.349,0,0.303,132.136
56.712,15.018,17.5,-55.441,0,0.805,89.924
57.5,14.832,17.1,-55.454,0,0.504,106.64
58.5,14.715,16.7,-55.345,0,0.101,132.848
58.5,14.786,16.4,-55.373,0,0,126
58.75,14.602,16.3,-55.332,0,0,182
63.25,13.366,16.1,-55.494,0,0,182
66,12.921,15.9,-55.321,0,0.504,174.28
64.5,13.321,15.7,-55.494,0,0.101,120.924
64.5,13.383,15.6,-55.404,0,0,132
66.924,12.884,15.5,-55.385,0,0.504,132.28
67.568,12.756,16.6,-55.372,0,0.504,129.28
67,12.76,17.2,-55.426,0,0.101,132.848
67,12.675,17.3,-55.37,0,0,129
67,12.849,17.4,-55.4,0,0.101,129.848
67.5,12.682,17.4,-55.37,0,0.101,129.848
67.5,12.808,17.6,-55.372,0,0,126
67.5,12.969,17.7,-55.306,0,0,129
70,12.31,17.8,-55.289,0,0,129
71.5,11.902,17.9,-55.326,0,0.101,129.848
73,11.785,18,-55.431,0,0,129
73,11.967,18,-55.354,0,0,129
74.5,11.431,17.8,-55.307,0,0,132
77.5,10.095,17.5,-55.259,0,0,129
80.5,9.245,17.1,-55.32,0,0,129
82.924,9.717,17.3,-55.403,0,0.303,129.136
83,9.865,17.4,-55.362,0,0,129
82.5,10.49,17.5,-55.33,0,0,129
82.5,10.353,17.7,-55.434,5.997,0,129
82.5,10.42,17.8,-55.355,23.988,0,132
78,12.621,19.1,-55.396,137.9,0,129
66,15.971,21,-55.461,215.9,0,123.5
58.5,17.437,23.4,-55.322,293.8,0,250
53.5,18.671,26.6,-55.273,347.8,0.101,191.848
50.25,19.25,29.1,-55.459,389.8,0.506,260.56
